ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
64,artificial-intelligence,69,Ecole Polytechnique Federale de Lausanne,Switzerland,Lausanne,59.5,73.2,"11,641",https://www.usnews.com/education/best-global-universities/ecole-polytechnique-federale-de-lausanne-501629
65,artificial-intelligence,329,University of Tehran,Iran,Tehran,59.4,57.1,"45,295",https://www.usnews.com/education/best-global-universities/university-of-tehran-504903
66,artificial-intelligence,997,Thapar Institute of Engineering & Technology,India,Patiala,59.3,38.8,N/A,https://www.usnews.com/education/best-global-universities/thapar-institute-of-engineering-technology-529291
67,artificial-intelligence,"1,082",National University of Defense Technology - China,China,Changsha,59,37,N/A,https://www.usnews.com/education/best-global-universities/national-university-of-defense-technology-china-505128
68,artificial-intelligence,116,Fudan University,China,Shanghai,58.6,68.8,N/A,https://www.usnews.com/education/best-global-universities/fudan-university-500824
69,artificial-intelligence,168,Hunan University,China,Changsha,58.5,65.3,"41,580",https://www.usnews.com/education/best-global-universities/hunan-university-505375
70,artificial-intelligence,667,Southwest University - China,China,Chongqing,58.4,46.5,N/A,https://www.usnews.com/education/best-global-universities/southwest-university-china-506024
71,artificial-intelligence,37,University of New South Wales Sydney,Australia,Kensington,58.3,77,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434
72,artificial-intelligence,34,University of Edinburgh,United Kingdom,Edinburgh,58,77.8,"32,800",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
73,artificial-intelligence,282,Korea Advanced Institute of Science & Technology (KAIST),South Korea,Daejeon,57,59.1,"9,946",https://www.usnews.com/education/best-global-universities/korea-advanced-institute-of-science-technology-kaist-506336
74,artificial-intelligence,48,Universite de Paris,France,Paris,56.4,75.2,N/A,https://www.usnews.com/education/best-global-universities/universite-de-paris-529677
75,artificial-intelligence,60,Universite Paris Saclay,France,Saint-Aubin,56.4,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
76,artificial-intelligence,598,Beijing Jiaotong University,China,Beijing,55.6,48.3,N/A,https://www.usnews.com/education/best-global-universities/beijing-jiaotong-university-501352
77,artificial-intelligence,679,Beijing University of Posts & Telecommunications,China,Beijing,55.2,46.2,N/A,https://www.usnews.com/education/best-global-universities/beijing-university-of-posts-telecommunications-502130
78,artificial-intelligence,89,University of Birmingham,United Kingdom,Birmingham (U.K.),55.2,71.3,"32,560",https://www.usnews.com/education/best-global-universities/university-of-birmingham-501524
79,artificial-intelligence,"1,163",Hangzhou Dianzi University,China,Hangzhou,55.1,35,N/A,https://www.usnews.com/education/best-global-universities/hangzhou-dianzi-university-529256
80,artificial-intelligence,39,University of Amsterdam,Netherlands,Amsterdam,55,76.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-amsterdam-502957
81,artificial-intelligence,421,Shanghai University,China,Shanghai,54.7,53.9,"37,499",https://www.usnews.com/education/best-global-universities/shanghai-university-504274
82,artificial-intelligence,282,China University of Geosciences,China,Wuhan,54.6,59.1,N/A,https://www.usnews.com/education/best-global-universities/china-university-of-geosciences-506930
83,artificial-intelligence,226,Universiti Malaya,Malaysia,Kuala Lumpur,53.7,61.6,"18,320",https://www.usnews.com/education/best-global-universities/universiti-malaya-501730
84,artificial-intelligence,379,Chongqing University,China,Chongqing,53,55,"40,696",https://www.usnews.com/education/best-global-universities/chongqing-university-505768
85,artificial-intelligence,368,Shandong University,China,Jinan,53,55.4,N/A,https://www.usnews.com/education/best-global-universities/shandong-university-505166
86,artificial-intelligence,"1,060",Dalian Maritime University,China,Dalian,52.8,37.4,N/A,https://www.usnews.com/education/best-global-universities/dalian-maritime-university-529341
87,artificial-intelligence,667,Nanjing University of Aeronautics & Astronautics,China,Nanjing,51.9,46.5,"32,238",https://www.usnews.com/education/best-global-universities/nanjing-university-of-aeronautics-astronautics-500835
