ranking,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
68,3,Stanford University,United States,Stanford,70.1,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
69,253,Beihang University,China,Beijing,69.7,60.5,N/A,https://www.usnews.com/education/best-global-universities/beihang-university-502158
70,745,Nanchang University,China,Nanchang,69.5,44.5,N/A,https://www.usnews.com/education/best-global-universities/nanchang-university-529112
71,95,Hong Kong University of Science & Technology,Hong Kong,Hong Kong,69.4,70.6,"9,864",https://www.usnews.com/education/best-global-universities/hong-kong-university-of-science-technology-503260
72,116,Fudan University,China,Shanghai,69.3,68.8,N/A,https://www.usnews.com/education/best-global-universities/fudan-university-500824
73,421,Shanghai University,China,Shanghai,69.3,53.9,"37,499",https://www.usnews.com/education/best-global-universities/shanghai-university-504274
74,"1,060",Guangxi University,China,Nanning,69.0,37.4,N/A,https://www.usnews.com/education/best-global-universities/guangxi-university-529243
75,148,Texas A&M University College Station,United States,College Station,68.5,66.5,"62,931",https://www.usnews.com/education/best-global-universities/texas-am-university-college-station-228723
76,"1,072",Yangzhou University,China,Yangzhou,68.1,37.2,"31,066",https://www.usnews.com/education/best-global-universities/yangzhou-university-529253
77,29,ETH Zurich,Switzerland,Zurich,68.0,79.3,"21,209",https://www.usnews.com/education/best-global-universities/eth-zurich-502241
78,759,Nanjing Forestry University,China,Nanjing,68.0,44.2,N/A,https://www.usnews.com/education/best-global-universities/nanjing-forestry-university-529506
79,441,University of Science & Technology Beijing,China,Beijing,67.9,53.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-science-technology-beijing-506176
80,551,Guangzhou University,China,Guangzhou,67.5,49.6,N/A,https://www.usnews.com/education/best-global-universities/guangzhou-university-529537
81,36,University of Queensland,Australia,Brisbane,67.4,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
82,"1,489",Southwest Petroleum University,China,Chengdu,67.0,28.0,N/A,https://www.usnews.com/education/best-global-universities/southwest-petroleum-university-529461
83,333,Northwestern Polytechnical University,China,Xi'an,66.9,56.8,"34,095",https://www.usnews.com/education/best-global-universities/northwestern-polytechnical-university-504154
84,"1,327",Tiangong University,China,Tianjin,66.9,31.7,N/A,https://www.usnews.com/education/best-global-universities/tiangong-university-529130
85,290,Korea University,South Korea,Seoul,66.8,58.9,N/A,https://www.usnews.com/education/best-global-universities/korea-university-505391
86,297,Polytechnic University of Milan,Italy,Milan,66.8,58.5,N/A,https://www.usnews.com/education/best-global-universities/polytechnic-university-of-milan-502229
87,618,Northeastern University - China,China,Shenyang,66.5,47.9,"39,155",https://www.usnews.com/education/best-global-universities/northeastern-university-china-514931
88,4,University of California Berkeley,United States,Berkeley,66.4,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
89,63,University of Manchester,United Kingdom,Manchester,66.3,73.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-manchester-500273
90,169,Delft University of Technology,Netherlands,Delft,66.1,65.1,N/A,https://www.usnews.com/education/best-global-universities/delft-university-of-technology-505496
91,223,Ton Duc Thang University,Vietnam,Ho Chi Minh City,66.1,61.8,N/A,https://www.usnews.com/education/best-global-universities/ton-duc-thang-university-529637
92,400,King Fahd University of Petroleum & Minerals,Saudi Arabia,Dhahran,65.5,54.4,N/A,https://www.usnews.com/education/best-global-universities/king-fahd-university-of-petroleum-minerals-506100
93,43,University of Texas Austin,United States,Austin,65.5,75.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-austin-228778
94,662,Khalifa University of Science & Technology,United Arab Emirates,Abu Dhabi,65.3,46.6,N/A,https://www.usnews.com/education/best-global-universities/khalifa-university-of-science-technology-529390
95,12,University College London,United Kingdom,London (U.K.),65.2,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
96,531,Nanjing University of Science & Technology,China,Nanjing,64.7,50.2,N/A,https://www.usnews.com/education/best-global-universities/nanjing-university-of-science-technology-502308
97,84,Pennsylvania State University,United States,University Park,64.5,71.9,"46,863",https://www.usnews.com/education/best-global-universities/pennsylvania-state-university-214777
98,74,University of Adelaide,Australia,Adelaide,64.0,72.8,"23,102",https://www.usnews.com/education/best-global-universities/university-of-adelaide-504015
99,225,University of Tennessee Knoxville,United States,Knoxville,63.9,61.7,"27,308",https://www.usnews.com/education/best-global-universities/university-of-tennessee-knoxville-221759
100,191,University of Waterloo,Canada,Waterloo,63.7,63.5,"34,306",https://www.usnews.com/education/best-global-universities/university-of-waterloo-499966
101,"1,357",Taiyuan University of Technology,China,Taiyuan,63.6,31.1,N/A,https://www.usnews.com/education/best-global-universities/taiyuan-university-of-technology-529111
102,55,University of Hong Kong,Hong Kong,Pok Fu Lam,63.6,74.4,"18,087",https://www.usnews.com/education/best-global-universities/university-of-hong-kong-505046
103,643,Beijing University of Technology,China,Beijing,63.4,47.1,N/A,https://www.usnews.com/education/best-global-universities/beijing-university-of-technology-505552
104,598,Jiangnan University,China,Wuxi,63.4,48.3,"29,899",https://www.usnews.com/education/best-global-universities/jiangnan-university-504800
105,171,Queensland University of Technology (QUT),Australia,Brisbane,63.3,64.7,"37,165",https://www.usnews.com/education/best-global-universities/queensland-university-of-technology-qut-504619
106,267,Norwegian University of Science & Technology (NTNU),Norway,Trondheim,63.2,59.8,"37,759",https://www.usnews.com/education/best-global-universities/norwegian-university-of-science-technology-ntnu-503599
107,19,University of Michigan,United States,Ann Arbor,63.1,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
108,342,Eindhoven University of Technology,Netherlands,Eindhoven,62.3,56.4,N/A,https://www.usnews.com/education/best-global-universities/eindhoven-university-of-technology-501655
109,"1,147",University of Jinan,China,Jinan,62.0,35.5,N/A,https://www.usnews.com/education/best-global-universities/university-of-jinan-529252
110,329,University of Tehran,Iran,Tehran,61.9,57.1,"45,295",https://www.usnews.com/education/best-global-universities/university-of-tehran-504903
111,"1,158",Qingdao University of Science & Technology,China,Qingdao,61.7,35.1,N/A,https://www.usnews.com/education/best-global-universities/qingdao-university-of-science-technology-529234
112,136,University of Alberta,Canada,Edmonton,61.7,67.1,"32,338",https://www.usnews.com/education/best-global-universities/university-of-alberta-499977
113,935,Wuhan Institute of Technology,China,Wuhan,61.6,40.1,"33,153",https://www.usnews.com/education/best-global-universities/wuhan-institute-of-technology-529516
114,226,Universiti Malaya,Malaysia,Kuala Lumpur,61.5,61.6,"18,320",https://www.usnews.com/education/best-global-universities/universiti-malaya-501730
115,478,Qatar University,Qatar,Doha,61.1,52.2,"9,084",https://www.usnews.com/education/best-global-universities/qatar-university-529146
116,247,Universidade do Porto,Portugal,Porto,61.1,60.7,"33,484",https://www.usnews.com/education/best-global-universities/universidade-do-porto-505685
117,413,Universite de Lorraine,France,Nancy,61.1,54.1,"61,235",https://www.usnews.com/education/best-global-universities/universite-de-lorraine-529568
118,226,Karlsruhe Institute of Technology,Germany,Karlsruhe,60.7,61.6,"22,689",https://www.usnews.com/education/best-global-universities/karlsruhe-institute-of-technology-502442
119,"1,564",Chung Yuan Christian University,Taiwan,Taoyuan City,60.3,26.4,"15,037",https://www.usnews.com/education/best-global-universities/chung-yuan-christian-university-529072
120,889,Universiti Teknologi Petronas,Malaysia,Darul Ridzuan,60.3,41.1,N/A,https://www.usnews.com/education/best-global-universities/universiti-teknologi-petronas-529338
121,794,Harbin Engineering University,China,Harbin,60.2,43.3,"29,861",https://www.usnews.com/education/best-global-universities/harbin-engineering-university-528986
122,202,Universidade de Lisboa,Portugal,Lisbon,59.7,62.9,"48,404",https://www.usnews.com/education/best-global-universities/universidade-de-lisboa-501120
123,28,University of Sydney,Australia,Sydney,59.6,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
124,240,Royal Institute of Technology,Sweden,Stockholm,59.5,61.0,N/A,https://www.usnews.com/education/best-global-universities/royal-institute-of-technology-505970
125,57,University of Maryland College Park,United States,College Park,59.1,74.3,"33,775",https://www.usnews.com/education/best-global-universities/university-of-maryland-college-park-163286
126,269,Beijing Normal University,China,Beijing,58.6,59.7,N/A,https://www.usnews.com/education/best-global-universities/beijing-normal-university-506588
