ranking,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
172,889,National Taiwan University of Science & Technology,Taiwan,Taipei City,53.6,41.1,"8,907",https://www.usnews.com/education/best-global-universities/national-taiwan-university-of-science-technology-501875
173,120,Universidade de Sao Paulo,Brazil,Sao Paulo,53.6,68.5,"82,010",https://www.usnews.com/education/best-global-universities/universidade-de-sao-paulo-500437
174,185,University of Naples Federico II,Italy,Naples,53.6,63.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-naples-federico-ii-505539
175,593,Universiti Kebangsaan Malaysia,Malaysia,Bangi Selangor,53.5,48.4,N/A,https://www.usnews.com/education/best-global-universities/universiti-kebangsaan-malaysia-506289
176,328,Washington State University,United States,Pullman,53.5,57.2,"29,463",https://www.usnews.com/education/best-global-universities/washington-state-university-236939
177,112,Lund University,Sweden,Lund,53.4,69.0,N/A,https://www.usnews.com/education/best-global-universities/lund-university-500083
178,835,Northwest University Xi'an,China,Xi'an,53.4,42.3,N/A,https://www.usnews.com/education/best-global-universities/northwest-university-xian-500540
179,337,Chalmers University of Technology,Sweden,Gothenburg,53.3,56.7,"9,513",https://www.usnews.com/education/best-global-universities/chalmers-university-of-technology-505279
180,273,Aalto University,Finland,Esbo,53.2,59.5,"13,306",https://www.usnews.com/education/best-global-universities/aalto-university-503645
181,89,University of Birmingham,United Kingdom,Birmingham (U.K.),53.2,71.3,"32,560",https://www.usnews.com/education/best-global-universities/university-of-birmingham-501524
182,35,University of British Columbia,Canada,Vancouver,53.1,77.5,"58,590",https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
183,912,Yeungnam University,South Korea,Gyeongsan,53.1,40.7,"19,345",https://www.usnews.com/education/best-global-universities/yeungnam-university-504367
184,300,Western University (University of Western Ontario),Canada,London (Canada),52.6,58.2,N/A,https://www.usnews.com/education/best-global-universities/western-university-university-of-western-ontario-499965
185,564,Colorado School of Mines,United States,Golden,52.4,49.2,"6,350",https://www.usnews.com/education/best-global-universities/colorado-school-of-mines-126775
186,209,Royal Melbourne Institute of Technology (RMIT),Australia,Melbourne (Australia),52.4,62.5,"32,692",https://www.usnews.com/education/best-global-universities/royal-melbourne-institute-of-technology-rmit-503858
187,389,Universite de Lille,France,Lille,52.4,54.8,N/A,https://www.usnews.com/education/best-global-universities/universite-de-lille-529680
188,175,University of Calgary,Canada,Calgary,52.2,64.2,"33,560",https://www.usnews.com/education/best-global-universities/university-of-calgary-499975
189,520,University of Sevilla,Spain,Seville,52.2,50.5,"49,155",https://www.usnews.com/education/best-global-universities/university-of-sevilla-502822
190,605,Indian Institute of Technology (IIT) - Madras,India,Chennai,51.7,48.2,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-madras-502278
191,889,Jeonbuk National University,South Korea,Jeonju,51.6,41.1,"21,782",https://www.usnews.com/education/best-global-universities/jeonbuk-national-university-503088
192,385,Polytechnic University of Catalonia,Spain,Barcelona,51.3,54.9,"22,280",https://www.usnews.com/education/best-global-universities/polytechnic-university-of-catalonia-501701
193,570,Universitat Politecnica de Valencia,Spain,Valencia,51.2,49.1,"23,607",https://www.usnews.com/education/best-global-universities/universitat-politecnica-de-valencia-501850
194,256,University of Erlangen Nuremberg,Germany,Erlangen,51.0,60.3,"33,777",https://www.usnews.com/education/best-global-universities/university-of-erlangen-nuremberg-504002
195,633,Amirkabir University of Technology,Iran,Tehran,50.7,47.3,N/A,https://www.usnews.com/education/best-global-universities/amirkabir-university-of-technology-506266
196,79,Technical University of Munich,Germany,Munich,50.4,72.6,"33,960",https://www.usnews.com/education/best-global-universities/technical-university-of-munich-503109
197,901,University of Shanghai for Science & Technology,China,Shanghai,50.3,40.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-shanghai-for-science-technology-529079
198,625,University of Tabriz,Iran,Tabriz,50.3,47.7,"20,983",https://www.usnews.com/education/best-global-universities/university-of-tabriz-528957
199,63,University of Wisconsin Madison,United States,Madison,50.2,73.8,"40,701",https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444
200,"1,216",Xi'an University of Architecture & Technology,China,Xi'an,50.0,34.1,N/A,https://www.usnews.com/education/best-global-universities/xian-university-of-architecture-technology-529487
201,432,Hokkaido University,Japan,Sapporo,49.9,53.6,N/A,https://www.usnews.com/education/best-global-universities/hokkaido-university-501928
202,992,Universiti Malaysia Pahang,Malaysia,Pahang,49.9,38.9,"8,140",https://www.usnews.com/education/best-global-universities/universiti-malaysia-pahang-529458
203,363,Aristotle University of Thessaloniki,Greece,Thessaloniki,49.8,55.6,"49,840",https://www.usnews.com/education/best-global-universities/aristotle-university-of-thessaloniki-506056
204,27,University of Melbourne,Australia,Parkville,49.7,80.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796
205,547,Chulalongkorn University,Thailand,Bangkok,49.5,49.8,"34,095",https://www.usnews.com/education/best-global-universities/chulalongkorn-university-505636
206,134,University of Sheffield,United Kingdom,Sheffield,49.4,67.3,"27,840",https://www.usnews.com/education/best-global-universities/university-of-sheffield-503922
207,"1,327",Inha University,South Korea,Incheon,49.1,31.7,"17,103",https://www.usnews.com/education/best-global-universities/inha-university-504761
208,167,University of Utah,United States,Salt Lake City,49.0,65.4,"30,967",https://www.usnews.com/education/best-global-universities/university-of-utah-230764
209,54,McGill University,Canada,Montreal,48.9,74.6,"32,309",https://www.usnews.com/education/best-global-universities/mcgill-university-499986
210,282,Universite Toulouse III - Paul Sabatier,France,Toulouse,48.9,59.1,N/A,https://www.usnews.com/education/best-global-universities/universite-toulouse-iii-paul-sabatier-503302
211,55,Ohio State University,United States,Columbus,48.8,74.4,"55,814",https://www.usnews.com/education/best-global-universities/ohio-state-university-204796
212,688,University of Calabria,Italy,Arcavacata di Rende,48.7,46.0,N/A,https://www.usnews.com/education/best-global-universities/university-of-calabria-505594
213,676,University of Zaragoza,Spain,Zaragoza,48.7,46.3,"28,083",https://www.usnews.com/education/best-global-universities/university-of-zaragoza-502343
214,156,Newcastle University - UK,United Kingdom,Newcastle upon Tyne,48.6,65.9,"26,920",https://www.usnews.com/education/best-global-universities/newcastle-university-uk-503247
