0,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url,,,,,1
122,infectious-diseases,397,Laval University,Canada,Quebec City,41.3,54.5,"28,611",https://www.usnews.com/education/best-global-universities/laval-university-505699,,,,,
123,infectious-diseases,24,Northwestern University,United States,Evanston,41.1,81.2,"18,803",https://www.usnews.com/education/best-global-universities/northwestern-university-147767,,,,,
124,infectious-diseases,239,Tufts University,United States,Medford,41,61.1,"11,399",https://www.usnews.com/education/best-global-universities/tufts-university-168148,,,,,
125,infectious-diseases,789,University of Brighton,United Kingdom,Brighton,40.8,43.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-brighton-528973,,,,,
126,infectious-diseases,165,Oregon Health & Science University,United States,Portland,40.4,65.5,N/A,https://www.usnews.com/education/best-global-universities/oregon-health-science-university-209490,,,,,
127,infectious-diseases,60,Universite Paris Saclay,France,Saint-Aubin,40.4,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676,,,,,
128,infectious-diseases,573,Addis Ababa University,Ethiopia,Addis Ababa,40.1,49,N/A,https://www.usnews.com/education/best-global-universities/addis-ababa-university-529036,,,,,
129,infectious-diseases,156,Universite de Montreal,Canada,Montreal,39.9,65.9,"38,189",https://www.usnews.com/education/best-global-universities/universite-de-montreal-506159,,,,,
130,infectious-diseases,213,King Saud University,Saudi Arabia,Riyadh,39.7,62.3,"33,931",https://www.usnews.com/education/best-global-universities/king-saud-university-503764,,,,,
131,infectious-diseases,152,Indiana University Bloomington,United States,Bloomington,39.6,66.1,N/A,https://www.usnews.com/education/best-global-universities/indiana-university-bloomington-151351,,,,,
132,infectious-diseases,115,University of Padua,Italy,Padua,39.4,68.9,"48,524",https://www.usnews.com/education/best-global-universities/university-of-padua-502381,,,,,
133,infectious-diseases,89,Shanghai Jiao Tong University,China,Shanghai,38.9,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915,,,,,
134,infectious-diseases,"1,376",University of Malawi,Malawi,Zomba,38.8,30.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-malawi-529362,,,,,
135,infectious-diseases,127,Uppsala University,Sweden,Uppsala,38.7,67.8,N/A,https://www.usnews.com/education/best-global-universities/uppsala-university-501990,,,,,
136,infectious-diseases,206,Medical University of Vienna,Austria,Vienna,38.6,62.7,"7,274",https://www.usnews.com/education/best-global-universities/medical-university-of-vienna-504165,,,,,
137,infectious-diseases,372,University of Manitoba,Canada,Winnipeg,38.4,55.2,"29,561",https://www.usnews.com/education/best-global-universities/university-of-manitoba-503954,,,,,
138,infectious-diseases,83,University of Western Australia,Australia,Crawley,37.5,72.2,"18,405",https://www.usnews.com/education/best-global-universities/university-of-western-australia-503979,,,,,
139,infectious-diseases,583,Universidade Federal de Sao Paulo (UNIFESP),Brazil,Sao Paulo,37.4,48.7,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-de-sao-paulo-unifesp-501953,,,,,
140,infectious-diseases,253,University of Miami,United States,Coral Gables,37,60.5,"17,047",https://www.usnews.com/education/best-global-universities/university-of-miami-135726,,,,,
141,infectious-diseases,149,University of Hamburg,Germany,Hamburg,36.8,66.3,"30,676",https://www.usnews.com/education/best-global-universities/university-of-hamburg-501079,,,,,
142,infectious-diseases,30,Nanyang Technological University,Singapore,Singapore,36.4,79,"24,651",https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366,,,,,
143,infectious-diseases,468,Universidade Federal de Minas Gerais,Brazil,Belo Horizonte,36.4,52.6,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-de-minas-gerais-506043,,,,,
144,infectious-diseases,163,University of Warwick,United Kingdom,Coventry,36.1,65.7,"23,895",https://www.usnews.com/education/best-global-universities/university-of-warwick-503443,,,,,
145,infectious-diseases,324,James Cook University,Australia,Townsville City,36,57.3,"12,825",https://www.usnews.com/education/best-global-universities/james-cook-university-506320,,,,,
146,infectious-diseases,109,Aarhus University,Denmark,Aarhus,35.7,69.1,"26,475",https://www.usnews.com/education/best-global-universities/aarhus-university-502125,,,,,
147,infectious-diseases,46,Icahn School of Medicine at Mount Sinai,United States,New York City,35.6,75.4,N/A,https://www.usnews.com/education/best-global-universities/icahn-school-of-medicine-at-mount-sinai-193405,,,,,
148,infectious-diseases,725,University of Zambia,Zambia,Lusaka,35.6,45.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-zambia-529619,,,,,
149,infectious-diseases,366,Catholic University of the Sacred Heart,Italy,Milan,35.2,55.5,N/A,https://www.usnews.com/education/best-global-universities/catholic-university-of-the-sacred-heart-503167,,,,,
150,infectious-diseases,136,University of Alberta,Canada,Edmonton,35.2,67.1,"32,338",https://www.usnews.com/education/best-global-universities/university-of-alberta-499977,,,,,
151,infectious-diseases,148,Texas A&M University College Station,United States,College Station,34.8,66.5,"62,931",https://www.usnews.com/education/best-global-universities/texas-am-university-college-station-228723,,,,,
152,infectious-diseases,82,Vrije Universiteit Amsterdam,Netherlands,Amsterdam,34.7,72.3,N/A,https://www.usnews.com/education/best-global-universities/vrije-universiteit-amsterdam-500669,,,,,
153,infectious-diseases,432,Hokkaido University,Japan,Sapporo,34.1,53.6,N/A,https://www.usnews.com/education/best-global-universities/hokkaido-university-501928,,,,,
154,infectious-diseases,247,Universidade do Porto,Portugal,Porto,33.9,60.7,"33,484",https://www.usnews.com/education/best-global-universities/universidade-do-porto-505685,,,,,
155,infectious-diseases,89,University of Oslo,Norway,Oslo,33.9,71.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-oslo-502680,,,,,
156,infectious-diseases,452,University of Pretoria,South Africa,Hatfied (South Africa),33.8,53.1,"36,493",https://www.usnews.com/education/best-global-universities/university-of-pretoria-501543,,,,,
157,infectious-diseases,31,New York University,United States,New York City,33.1,78.5,"36,337",https://www.usnews.com/education/best-global-universities/new-york-university-193900,,,,,
158,infectious-diseases,62,Australian National University,Australia,Canberra,32.3,73.9,"16,758",https://www.usnews.com/education/best-global-universities/australian-national-university-503825,,,,,
159,infectious-diseases,63,University of Wisconsin Madison,United States,Madison,31.7,73.8,"40,701",https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444,,,,,
160,infectious-diseases,385,Wayne State University,United States,Detroit,31,54.9,N/A,https://www.usnews.com/education/best-global-universities/wayne-state-university-172644,,,,,
161,infectious-diseases,300,University of Genoa,Italy,Genoa,30.7,58.2,"20,263",https://www.usnews.com/education/best-global-universities/university-of-genoa-503778,,,,,
162,infectious-diseases,930,University of Gondar,Ethiopia,Gondar,30.7,40.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-gondar-529442,,,,,
163,infectious-diseases,261,University of Southern Denmark,Denmark,Odense,30.7,60.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-southern-denmark-500382,,,,,
164,infectious-diseases,122,University of Bologna,Italy,Bologna,30.5,68.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-bologna-502210,,,,,
165,infectious-diseases,203,University of Cincinnati,United States,Cincinnati,30.5,62.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-cincinnati-201885,,,,,
166,infectious-diseases,907,University of Ghana,Ghana,Legon,30.4,40.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-ghana-529375,,,,,
167,infectious-diseases,125,Sapienza University Rome,Italy,Rome,30.2,68,"74,149",https://www.usnews.com/education/best-global-universities/sapienza-university-rome-506550,,,,,
168,infectious-diseases,324,University of Georgia,United States,"Athens (Georgia, U.S.)",29.9,57.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-georgia-139959,,,,,
169,infectious-diseases,860,Southern Medical University - China,China,Guangzhou,29.8,41.8,N/A,https://www.usnews.com/education/best-global-universities/southern-medical-university-china-529257,,,,,
170,infectious-diseases,265,Yeshiva University,United States,New York City,29.8,59.9,N/A,https://www.usnews.com/education/best-global-universities/yeshiva-university-197708,,,,,
171,infectious-diseases,292,Yonsei University,South Korea,Seoul,29.3,58.8,N/A,https://www.usnews.com/education/best-global-universities/yonsei-university-503801,,,,,
172,infectious-diseases,368,Shandong University,China,Jinan,28.4,55.4,N/A,https://www.usnews.com/education/best-global-universities/shandong-university-505166,,,,,
