ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
206,energy-fuels,185,University of Naples Federico II,Italy,Naples,35.4,63.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-naples-federico-ii-505539
207,energy-fuels,127,Uppsala University,Sweden,Uppsala,35.4,67.8,N/A,https://www.usnews.com/education/best-global-universities/uppsala-university-501990
208,energy-fuels,370,University of Surrey,United Kingdom,Surrey,35.3,55.3,"15,875",https://www.usnews.com/education/best-global-universities/university-of-surrey-505401
209,energy-fuels,194,Universite de Montpellier,France,Montpellier,35.2,63.3,"40,179",https://www.usnews.com/education/best-global-universities/universite-de-montpellier-528813
210,energy-fuels,125,Sapienza University Rome,Italy,Rome,34.6,68,"74,149",https://www.usnews.com/education/best-global-universities/sapienza-university-rome-506550
211,energy-fuels,717,Indian Institute of Technology (IIT) - Delhi,India,New Delhi,33.9,45.3,"9,794",https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-delhi-500856
212,energy-fuels,"1,046",Ferdowsi University Mashhad,Iran,Mashhad,33.7,37.7,N/A,https://www.usnews.com/education/best-global-universities/ferdowsi-university-mashhad-502854
213,energy-fuels,217,Deakin University,Australia,Burwood,33.6,62.1,"43,080",https://www.usnews.com/education/best-global-universities/deakin-university-504884
214,energy-fuels,409,University of Bath,United Kingdom,Bath,33.5,54.2,"16,730",https://www.usnews.com/education/best-global-universities/university-of-bath-506373
215,energy-fuels,186,Universite Grenoble Alpes (UGA),France,Saint-Martin-d'Heres,33.2,63.6,"50,868",https://www.usnews.com/education/best-global-universities/universite-grenoble-alpes-uga-528916
216,energy-fuels,739,Isfahan University of Technology,Iran,Isfahan,33.1,44.6,"11,323",https://www.usnews.com/education/best-global-universities/isfahan-university-of-technology-502590
217,energy-fuels,397,Sejong University,South Korea,Seoul,32.5,54.5,N/A,https://www.usnews.com/education/best-global-universities/sejong-university-528964
218,energy-fuels,140,Kyoto University,Japan,Kyoto,32.4,66.9,N/A,https://www.usnews.com/education/best-global-universities/kyoto-university-505388
219,energy-fuels,520,University of Sevilla,Spain,Seville,32.3,50.5,"49,155",https://www.usnews.com/education/best-global-universities/university-of-sevilla-502822
220,energy-fuels,912,Yeungnam University,South Korea,Gyeongsan,32.1,40.7,"19,345",https://www.usnews.com/education/best-global-universities/yeungnam-university-504367
221,energy-fuels,710,Cranfield University,United Kingdom,Cranfield,32,45.4,N/A,https://www.usnews.com/education/best-global-universities/cranfield-university-500995
222,energy-fuels,385,Polytechnic University of Catalonia,Spain,Barcelona,32,54.9,"22,280",https://www.usnews.com/education/best-global-universities/polytechnic-university-of-catalonia-501701
223,energy-fuels,653,Southwest Jiaotong University,China,Chengdu,31.9,46.8,"43,541",https://www.usnews.com/education/best-global-universities/southwest-jiaotong-university-528991
224,energy-fuels,698,Pusan National University,South Korea,Busan,31.7,45.7,N/A,https://www.usnews.com/education/best-global-universities/pusan-national-university-501725
225,energy-fuels,"1,042",Shahid Beheshti University,Iran,Tehran,31.7,37.8,"19,695",https://www.usnews.com/education/best-global-universities/shahid-beheshti-university-502879
226,energy-fuels,901,University of Shanghai for Science & Technology,China,Shanghai,31.7,40.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-shanghai-for-science-technology-529079
227,energy-fuels,"1,180",Kunming University of Science & Technology,China,Kunming,31.5,34.7,N/A,https://www.usnews.com/education/best-global-universities/kunming-university-of-science-technology-529089
228,energy-fuels,485,Brunel University,United Kingdom,Uxbridge,31.3,51.9,"14,185",https://www.usnews.com/education/best-global-universities/brunel-university-502232
229,energy-fuels,115,University of Padua,Italy,Padua,31.2,68.9,"48,524",https://www.usnews.com/education/best-global-universities/university-of-padua-502381
230,energy-fuels,653,Hohai University,China,Nanjing,30.3,46.8,N/A,https://www.usnews.com/education/best-global-universities/hohai-university-528997
231,energy-fuels,88,University of Groningen,Netherlands,Groningen,30.3,71.5,"30,009",https://www.usnews.com/education/best-global-universities/university-of-groningen-500967
232,energy-fuels,615,Technical University of Darmstadt,Germany,Darmstadt,30.2,48,"15,526",https://www.usnews.com/education/best-global-universities/technical-university-of-darmstadt-506035
