ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
102,civil-engineering,253,Beihang University,China,Beijing,45.9,60.5,N/A,https://www.usnews.com/education/best-global-universities/beihang-university-502158
103,civil-engineering,36,University of Queensland,Australia,Brisbane,44,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
104,civil-engineering,54,McGill University,Canada,Montreal,43.8,74.6,"32,309",https://www.usnews.com/education/best-global-universities/mcgill-university-499986
105,civil-engineering,14,University of California Los Angeles,United States,Los Angeles,43.2,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
106,civil-engineering,203,National Taiwan University,Taiwan,Taipei,42.9,62.8,"25,215",https://www.usnews.com/education/best-global-universities/national-taiwan-university-504077
107,civil-engineering,263,Iowa State University,United States,Ames,42.8,60,N/A,https://www.usnews.com/education/best-global-universities/iowa-state-university-153603
108,civil-engineering,199,RWTH Aachen University,Germany,Aachen,42.7,63,"39,738",https://www.usnews.com/education/best-global-universities/rwth-aachen-university-506441
109,civil-engineering,145,University of Nottingham,United Kingdom,Nottingham,42.7,66.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-nottingham-503548
110,civil-engineering,115,University of Padua,Italy,Padua,42.5,68.9,"48,524",https://www.usnews.com/education/best-global-universities/university-of-padua-502381
111,civil-engineering,98,University of Florida,United States,Gainesville,42.4,70.4,"46,807",https://www.usnews.com/education/best-global-universities/university-of-florida-134130
112,civil-engineering,907,Universite Gustave-Eiffel,France,Marne-la-Vall¨¦e,42.3,40.8,N/A,https://www.usnews.com/education/best-global-universities/universite-gustave-eiffel-529800
113,civil-engineering,122,University of Bologna,Italy,Bologna,42.3,68.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-bologna-502210
114,civil-engineering,653,Concordia University - Canada,Canada,Montreal,42.1,46.8,"35,592",https://www.usnews.com/education/best-global-universities/concordia-university-canada-499961
115,civil-engineering,441,University of Science & Technology Beijing,China,Beijing,42.1,53.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-science-technology-beijing-506176
116,civil-engineering,73,University of California Davis,United States,Davis,41.9,72.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-davis-110644
117,civil-engineering,273,Aalto University,Finland,Esbo,41.7,59.5,"13,306",https://www.usnews.com/education/best-global-universities/aalto-university-503645
118,civil-engineering,8,University of Cambridge,United Kingdom,Cambridge (U.K.),41.7,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
119,civil-engineering,269,Beijing Normal University,China,Beijing,41.3,59.7,N/A,https://www.usnews.com/education/best-global-universities/beijing-normal-university-506588
120,civil-engineering,171,Queensland University of Technology (QUT),Australia,Brisbane,41.1,64.7,"37,165",https://www.usnews.com/education/best-global-universities/queensland-university-of-technology-qut-504619
121,civil-engineering,304,Sichuan University,China,Chengdu,41.1,58.1,"49,543",https://www.usnews.com/education/best-global-universities/sichuan-university-506145
122,civil-engineering,81,University of Tokyo,Japan,Tokyo,41.1,72.4,"26,112",https://www.usnews.com/education/best-global-universities/university-of-tokyo-500248
123,civil-engineering,708,Tarbiat Modares University,Iran,Tehran,40.9,45.5,N/A,https://www.usnews.com/education/best-global-universities/tarbiat-modares-university-528825
124,civil-engineering,186,University of Wollongong,Australia,Wollongong,40.8,63.6,"19,169",https://www.usnews.com/education/best-global-universities/university-of-wollongong-503195
125,civil-engineering,879,Iran University Science & Technology,Iran,Tehran,40.7,41.3,"15,436",https://www.usnews.com/education/best-global-universities/iran-university-science-technology-505518
126,civil-engineering,333,Northwestern Polytechnical University,China,Xi'an,40.2,56.8,"34,095",https://www.usnews.com/education/best-global-universities/northwestern-polytechnical-university-504154
127,civil-engineering,"1,060",Guangxi University,China,Nanning,40.1,37.4,N/A,https://www.usnews.com/education/best-global-universities/guangxi-university-529243
128,civil-engineering,265,Virginia Polytechnic Institute & State University,United States,Blacksburg,39.9,59.9,"36,512",https://www.usnews.com/education/best-global-universities/virginia-polytechnic-institute-state-university-233921
129,civil-engineering,441,Hanyang University,South Korea,Seoul,39.5,53.4,N/A,https://www.usnews.com/education/best-global-universities/hanyang-university-500484
130,civil-engineering,531,Fuzhou University,China,Fuzhou,39.3,50.2,"39,987",https://www.usnews.com/education/best-global-universities/fuzhou-university-528832
131,civil-engineering,441,National Technical University of Athens,Greece,Athens (Greece),39.1,53.4,N/A,https://www.usnews.com/education/best-global-universities/national-technical-university-of-athens-505449
132,civil-engineering,116,Michigan State University,United States,East Lansing,39,68.8,"45,465",https://www.usnews.com/education/best-global-universities/michigan-state-university-171100
133,civil-engineering,123,Nanjing University,China,Nanjing,39,68.2,"36,426",https://www.usnews.com/education/best-global-universities/nanjing-university-503849
134,civil-engineering,633,Amirkabir University of Technology,Iran,Tehran,38.6,47.3,N/A,https://www.usnews.com/education/best-global-universities/amirkabir-university-of-technology-506266
135,civil-engineering,140,Kyoto University,Japan,Kyoto,38.6,66.9,N/A,https://www.usnews.com/education/best-global-universities/kyoto-university-505388
136,civil-engineering,389,Louisiana State University,United States,Baton Rouge,38.6,54.8,"29,191",https://www.usnews.com/education/best-global-universities/louisiana-state-university-159391
137,civil-engineering,143,Rutgers State University New Brunswick,United States,Piscataway Township,38.6,66.8,"46,158",https://www.usnews.com/education/best-global-universities/rutgers-state-university-new-brunswick-186380
138,civil-engineering,794,Harbin Engineering University,China,Harbin,38.4,43.3,"29,861",https://www.usnews.com/education/best-global-universities/harbin-engineering-university-528986
