ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
82,gastroenterology-hepatology,653,Universite Paris-Est-Creteil-Val-de-Marne (UPEC),France,Creteil,54.5,46.8,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-est-creteil-val-de-marne-upec-528863
83,gastroenterology-hepatology,146,University of Liverpool,United Kingdom,Liverpool,54.4,66.6,"27,145",https://www.usnews.com/education/best-global-universities/university-of-liverpool-506611
84,gastroenterology-hepatology,81,University of Tokyo,Japan,Tokyo,54,72.4,"26,112",https://www.usnews.com/education/best-global-universities/university-of-tokyo-500248
85,gastroenterology-hepatology,21,Cornell University,United States,Ithaca,53.7,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
86,gastroenterology-hepatology,109,Aarhus University,Denmark,Aarhus,53.3,69.1,"26,475",https://www.usnews.com/education/best-global-universities/aarhus-university-502125
87,gastroenterology-hepatology,72,Emory University,United States,Atlanta,53.2,73,"13,190",https://www.usnews.com/education/best-global-universities/emory-university-139658
88,gastroenterology-hepatology,88,University of Groningen,Netherlands,Groningen,52.7,71.5,"30,009",https://www.usnews.com/education/best-global-universities/university-of-groningen-500967
89,gastroenterology-hepatology,236,Goethe University Frankfurt,Germany,Frankfurt am Main,52.3,61.2,N/A,https://www.usnews.com/education/best-global-universities/goethe-university-frankfurt-503512
90,gastroenterology-hepatology,199,RWTH Aachen University,Germany,Aachen,52.1,63,"39,738",https://www.usnews.com/education/best-global-universities/rwth-aachen-university-506441
91,gastroenterology-hepatology,39,Peking University,China,Beijing,51.7,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
92,gastroenterology-hepatology,241,Johannes Gutenberg University of Mainz,Germany,Mainz,51.4,60.9,N/A,https://www.usnews.com/education/best-global-universities/johannes-gutenberg-university-of-mainz-500317
93,gastroenterology-hepatology,250,National & Kapodistrian University of Athens,Greece,Athens (Greece),50.8,60.6,N/A,https://www.usnews.com/education/best-global-universities/national-kapodistrian-university-of-athens-504988
94,gastroenterology-hepatology,98,University of Florida,United States,Gainesville,50.8,70.4,"46,807",https://www.usnews.com/education/best-global-universities/university-of-florida-134130
95,gastroenterology-hepatology,54,McGill University,Canada,Montreal,50.6,74.6,"32,309",https://www.usnews.com/education/best-global-universities/mcgill-university-499986
96,gastroenterology-hepatology,22,University of Chicago,United States,Chicago,50.4,82.5,N/A,https://www.usnews.com/education/best-global-universities/university-of-chicago-144050
97,gastroenterology-hepatology,80,University of Southern California,United States,Los Angeles,50.3,72.5,"42,502",https://www.usnews.com/education/best-global-universities/university-of-southern-california-123961
98,gastroenterology-hepatology,82,Vrije Universiteit Amsterdam,Netherlands,Amsterdam,49.5,72.3,N/A,https://www.usnews.com/education/best-global-universities/vrije-universiteit-amsterdam-500669
99,gastroenterology-hepatology,261,University of Southern Denmark,Denmark,Odense,49.4,60.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-southern-denmark-500382
100,gastroenterology-hepatology,573,University of Palermo,Italy,Palermo,49.3,49,N/A,https://www.usnews.com/education/best-global-universities/university-of-palermo-501535
101,gastroenterology-hepatology,710,University of Ulsan,South Korea,Ulsan,49.3,45.4,"12,415",https://www.usnews.com/education/best-global-universities/university-of-ulsan-500178
102,gastroenterology-hepatology,186,Maastricht University,Netherlands,Maastricht,48.5,63.6,N/A,https://www.usnews.com/education/best-global-universities/maastricht-university-505759
103,gastroenterology-hepatology,44,Utrecht University,Netherlands,Utrecht,48.3,75.7,"32,532",https://www.usnews.com/education/best-global-universities/utrecht-university-505962
104,gastroenterology-hepatology,247,Universidade do Porto,Portugal,Porto,48.2,60.7,"33,484",https://www.usnews.com/education/best-global-universities/universidade-do-porto-505685
105,gastroenterology-hepatology,174,University of Colorado Anschutz Medical Campus,United States,Aurora,48.1,64.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-colorado-anschutz-medical-campus-529678
