ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
44,biotechnology-applied-microbiology,74,University of Illinois Urbana-Champaign,United States,Champaign,52.8,72.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-illinois-urbana-champaign-145637
45,biotechnology-applied-microbiology,55,Ohio State University,United States,Columbus,52.7,74.4,"55,814",https://www.usnews.com/education/best-global-universities/ohio-state-university-204796
46,biotechnology-applied-microbiology,129,Seoul National University (SNU),South Korea,Seoul,52.7,67.5,"26,209",https://www.usnews.com/education/best-global-universities/seoul-national-university-snu-503456
47,biotechnology-applied-microbiology,39,Peking University,China,Beijing,52.6,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
48,biotechnology-applied-microbiology,63,University of Wisconsin Madison,United States,Madison,52.5,73.8,"40,701",https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444
49,biotechnology-applied-microbiology,483,Nanjing Agricultural University,China,Nanjing,52.4,52,"28,184",https://www.usnews.com/education/best-global-universities/nanjing-agricultural-university-506399
50,biotechnology-applied-microbiology,116,Fudan University,China,Shanghai,51.7,68.8,N/A,https://www.usnews.com/education/best-global-universities/fudan-university-500824
51,biotechnology-applied-microbiology,34,University of Edinburgh,United Kingdom,Edinburgh,51.4,77.8,"32,800",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
52,biotechnology-applied-microbiology,19,University of Michigan,United States,Ann Arbor,51,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
53,biotechnology-applied-microbiology,95,Ghent University,Belgium,Gent,50.9,70.6,"39,437",https://www.usnews.com/education/best-global-universities/ghent-university-506883
54,biotechnology-applied-microbiology,44,Utrecht University,Netherlands,Utrecht,50.9,75.7,"32,532",https://www.usnews.com/education/best-global-universities/utrecht-university-505962
55,biotechnology-applied-microbiology,57,Ruprecht Karls University Heidelberg,Germany,Heidelberg,50.8,74.3,"19,347",https://www.usnews.com/education/best-global-universities/ruprecht-karls-university-heidelberg-506277
56,biotechnology-applied-microbiology,27,University of Melbourne,Australia,Parkville,50.3,80.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796
57,biotechnology-applied-microbiology,129,Sun Yat Sen University,China,Guangzhou,50,67.5,"58,208",https://www.usnews.com/education/best-global-universities/sun-yat-sen-university-506062
58,biotechnology-applied-microbiology,37,Monash University,Australia,Clayton,49.9,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
59,biotechnology-applied-microbiology,194,Universite de Montpellier,France,Montpellier,49.9,63.3,"40,179",https://www.usnews.com/education/best-global-universities/universite-de-montpellier-528813
60,biotechnology-applied-microbiology,109,Huazhong University of Science & Technology,China,Wuhan,49.4,69.1,"57,167",https://www.usnews.com/education/best-global-universities/huazhong-university-of-science-technology-505190
61,biotechnology-applied-microbiology,99,University of Helsinki,Finland,Helsinki,49.3,70.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-helsinki-501989
62,biotechnology-applied-microbiology,368,Shandong University,China,Jinan,48.1,55.4,N/A,https://www.usnews.com/education/best-global-universities/shandong-university-505166
63,biotechnology-applied-microbiology,598,Jiangnan University,China,Wuxi,47.9,48.3,"29,899",https://www.usnews.com/education/best-global-universities/jiangnan-university-504800
64,biotechnology-applied-microbiology,79,Technical University of Munich,Germany,Munich,47.8,72.6,"33,960",https://www.usnews.com/education/best-global-universities/technical-university-of-munich-503109
65,biotechnology-applied-microbiology,7,Columbia University,United States,New York City,47.4,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
66,biotechnology-applied-microbiology,260,Tianjin University,China,Tianjin,46.6,60.2,N/A,https://www.usnews.com/education/best-global-universities/tianjin-university-503557
67,biotechnology-applied-microbiology,11,Yale University,United States,New Haven,46.6,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794
68,biotechnology-applied-microbiology,745,Nanchang University,China,Nanchang,46.3,44.5,N/A,https://www.usnews.com/education/best-global-universities/nanchang-university-529112
69,biotechnology-applied-microbiology,209,Central South University,China,Changsha,46.2,62.5,"56,344",https://www.usnews.com/education/best-global-universities/central-south-university-501467
70,biotechnology-applied-microbiology,844,Jiangsu University,China,Zhenjiang,46.1,42.2,"35,687",https://www.usnews.com/education/best-global-universities/jiangsu-university-501438
71,biotechnology-applied-microbiology,263,Iowa State University,United States,Ames,45.5,60,N/A,https://www.usnews.com/education/best-global-universities/iowa-state-university-153603
72,biotechnology-applied-microbiology,37,University of New South Wales Sydney,Australia,Kensington,45.5,77,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434
73,biotechnology-applied-microbiology,290,Korea University,South Korea,Seoul,45.2,58.9,N/A,https://www.usnews.com/education/best-global-universities/korea-university-505391
74,biotechnology-applied-microbiology,30,Nanyang Technological University,Singapore,Singapore,45.2,79,"24,651",https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366
75,biotechnology-applied-microbiology,196,Tongji University,China,Shanghai,44.9,63.2,"30,153",https://www.usnews.com/education/best-global-universities/tongji-university-501326
76,biotechnology-applied-microbiology,452,University of Missouri Columbia,United States,Columbia,44.8,53.1,"25,113",https://www.usnews.com/education/best-global-universities/university-of-missouri-columbia-178396
77,biotechnology-applied-microbiology,84,Pennsylvania State University,United States,University Park,44.7,71.9,"46,863",https://www.usnews.com/education/best-global-universities/pennsylvania-state-university-214777
78,biotechnology-applied-microbiology,112,University of Technology Sydney,Australia,Ultimo,44.7,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-technology-sydney-505153
79,biotechnology-applied-microbiology,50,KU Leuven,Belgium,Leuven,44.6,75.1,"47,663",https://www.usnews.com/education/best-global-universities/ku-leuven-504785
80,biotechnology-applied-microbiology,605,AgroParisTech,France,Paris,44.4,48.2,N/A,https://www.usnews.com/education/best-global-universities/agroparistech-529092
81,biotechnology-applied-microbiology,324,University of Georgia,United States,"Athens (Georgia, U.S.)",44.4,57.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-georgia-139959
82,biotechnology-applied-microbiology,80,University of Southern California,United States,Los Angeles,44.3,72.5,"42,502",https://www.usnews.com/education/best-global-universities/university-of-southern-california-123961
83,biotechnology-applied-microbiology,83,University of Western Australia,Australia,Crawley,44.2,72.2,"18,405",https://www.usnews.com/education/best-global-universities/university-of-western-australia-503979
84,biotechnology-applied-microbiology,32,Washington University (WUSTL),United States,St. Louis,44.2,78.1,"14,761",https://www.usnews.com/education/best-global-universities/washington-university-wustl-179867
