,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
237,surgery,186,Technische Universitat Dresden,Germany,Dresden,34.7,63.6,"30,578",https://www.usnews.com/education/best-global-universities/technische-universitat-dresden-501011
238,surgery,304,Sichuan University,China,Chengdu,34.6,58.1,"49,543",https://www.usnews.com/education/best-global-universities/sichuan-university-506145
239,surgery,447,Mansoura University,Egypt,Mansoura,34.5,53.3,N/A,https://www.usnews.com/education/best-global-universities/mansoura-university-508398
240,surgery,"1,233",Juntendo University,Japan,Tokyo,34.3,33.7,N/A,https://www.usnews.com/education/best-global-universities/juntendo-university-502999
241,surgery,989,Loma Linda University,United States,Loma Linda,34.1,39,N/A,https://www.usnews.com/education/best-global-universities/loma-linda-university-117636
242,surgery,138,University of Bonn,Germany,Bonn,34.1,67,"27,210",https://www.usnews.com/education/best-global-universities/university-of-bonn-504578
243,surgery,152,Cardiff University,United Kingdom,Cardiff,33.8,66.1,N/A,https://www.usnews.com/education/best-global-universities/cardiff-university-500071
244,surgery,286,Tohoku University,Japan,Sendai,33.8,59,"17,812",https://www.usnews.com/education/best-global-universities/tohoku-university-500862
245,surgery,618,University of Messina,Italy,Messina,33.4,47.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-messina-500522
246,surgery,163,University of Warwick,United Kingdom,Coventry,32.7,65.7,"23,895",https://www.usnews.com/education/best-global-universities/university-of-warwick-503443
247,surgery,583,Universidade Federal de Sao Paulo (UNIFESP),Brazil,Sao Paulo,32.6,48.7,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-de-sao-paulo-unifesp-501953
248,surgery,93,Zhejiang University,China,Hangzhou,32.3,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
249,surgery,286,Osaka University,Japan,Suita,32.1,59,"22,485",https://www.usnews.com/education/best-global-universities/osaka-university-505864
250,surgery,667,Hiroshima University,Japan,Hiroshima,32,46.5,"14,612",https://www.usnews.com/education/best-global-universities/hiroshima-university-502589
