,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
187,space-science,152,University of Exeter,United Kingdom,Exeter,33.7,66.1,"24,940",https://www.usnews.com/education/best-global-universities/university-of-exeter-502021
188,space-science,74,University of Glasgow,United Kingdom,Glasgow,33.3,72.8,"28,250",https://www.usnews.com/education/best-global-universities/university-of-glasgow-500110
189,space-science,51,Georgia Institute of Technology,United States,Atlanta,33.2,74.9,N/A,https://www.usnews.com/education/best-global-universities/georgia-institute-of-technology-139755
190,space-science,215,Trinity College Dublin,Ireland,Dublin,33.1,62.2,"17,764",https://www.usnews.com/education/best-global-universities/trinity-college-dublin-501570
191,space-science,241,Hebrew University of Jerusalem,Israel,Jerusalem,33,60.9,"16,362",https://www.usnews.com/education/best-global-universities/hebrew-university-of-jerusalem-500554
192,space-science,41,University of North Carolina Chapel Hill,United States,Chapel Hill,33,76.7,"30,845",https://www.usnews.com/education/best-global-universities/university-of-north-carolina-chapel-hill-199120
193,space-science,"1,233",Universite de Orleans,France,Orleans,32.7,33.7,N/A,https://www.usnews.com/education/best-global-universities/universite-de-orleans-528865
194,space-science,295,Queens University Belfast,United Kingdom,Belfast,32,58.6,"20,195",https://www.usnews.com/education/best-global-universities/queens-university-belfast-505350
195,space-science,136,University of Alberta,Canada,Edmonton,32,67.1,"32,338",https://www.usnews.com/education/best-global-universities/university-of-alberta-499977
196,space-science,478,George Mason University,United States,Fairfax,31.8,52.2,"32,140",https://www.usnews.com/education/best-global-universities/george-mason-university-232186
197,space-science,112,"University of Chinese Academy of Sciences, CAS",China,Beijing,31.8,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-chinese-academy-of-sciences-cas-529679
198,space-science,394,National Tsing Hua University,Taiwan,Hsinchu,31.4,54.6,"13,030",https://www.usnews.com/education/best-global-universities/national-tsing-hua-university-501245
199,space-science,134,University of Sheffield,United Kingdom,Sheffield,31.4,67.3,"27,840",https://www.usnews.com/education/best-global-universities/university-of-sheffield-503922
200,space-science,286,Osaka University,Japan,Suita,31,59,"22,485",https://www.usnews.com/education/best-global-universities/osaka-university-505864
201,space-science,256,University of Erlangen Nuremberg,Germany,Erlangen,30.8,60.3,"33,777",https://www.usnews.com/education/best-global-universities/university-of-erlangen-nuremberg-504002
202,space-science,429,University of Innsbruck,Austria,Innsbruck,30.6,53.7,"13,918",https://www.usnews.com/education/best-global-universities/university-of-innsbruck-504813
203,space-science,339,Jagiellonian University,Poland,Krakow,30.4,56.6,"34,725",https://www.usnews.com/education/best-global-universities/jagiellonian-university-500039
204,space-science,143,Rutgers State University New Brunswick,United States,Piscataway Township,29.2,66.8,"46,158",https://www.usnews.com/education/best-global-universities/rutgers-state-university-new-brunswick-186380
205,space-science,432,Universidade Federal do Rio Grande do Sul,Brazil,Porto Alegre,29,53.6,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-do-rio-grande-do-sul-500468
206,space-science,352,University of Delaware,United States,Newark,28.8,56,"21,808",https://www.usnews.com/education/best-global-universities/university-of-delaware-130943
207,space-science,759,University of Maryland Baltimore County,United States,Baltimore,27.4,44.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-maryland-baltimore-county-163268
208,space-science,95,Ghent University,Belgium,Gent,27.1,70.6,"39,437",https://www.usnews.com/education/best-global-universities/ghent-university-506883
209,space-science,652,Saint Petersburg State University,Russia,St. Petersburg,27.1,46.9,"24,335",https://www.usnews.com/education/best-global-universities/saint-petersburg-state-university-502182
210,space-science,346,Ruhr University Bochum,Germany,Bochum,26.4,56.2,N/A,https://www.usnews.com/education/best-global-universities/ruhr-university-bochum-500459
211,space-science,452,University of Potsdam,Germany,Potsdam (Germany),26,53.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-potsdam-505430
212,space-science,89,Shanghai Jiao Tong University,China,Shanghai,25.1,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
213,space-science,70,Boston University,United States,Boston,24.9,73.1,"27,243",https://www.usnews.com/education/best-global-universities/boston-university-164988
214,space-science,826,National Central University,Taiwan,Jhongli City,24.5,42.4,"10,853",https://www.usnews.com/education/best-global-universities/national-central-university-504757
215,space-science,129,Sun Yat Sen University,China,Guangzhou,24.5,67.5,"58,208",https://www.usnews.com/education/best-global-universities/sun-yat-sen-university-506062
216,space-science,55,University of Hong Kong,Hong Kong,Pok Fu Lam,24.2,74.4,"18,087",https://www.usnews.com/education/best-global-universities/university-of-hong-kong-505046
217,space-science,311,University of New Mexico,United States,Albuquerque,24.2,57.9,"18,223",https://www.usnews.com/education/best-global-universities/university-of-new-mexico-187985
218,space-science,182,Eberhard Karls University of Tubingen,Germany,Tubingen,24.1,63.9,N/A,https://www.usnews.com/education/best-global-universities/eberhard-karls-university-of-tubingen-503424
219,space-science,587,University of New Hampshire,United States,"Durham (New Hampshire, U.S.)",24.1,48.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-new-hampshire-183044
220,space-science,180,University of Iowa,United States,Iowa City,23.8,64,"29,257",https://www.usnews.com/education/best-global-universities/university-of-iowa-153658
221,space-science,182,Lancaster University,United Kingdom,Lancaster,23.5,63.9,"14,665",https://www.usnews.com/education/best-global-universities/lancaster-university-504720
222,space-science,520,Kyung Hee University,South Korea,Seoul,23.2,50.5,"20,504",https://www.usnews.com/education/best-global-universities/kyung-hee-university-501161
223,space-science,953,Keele University,United Kingdom,Staffordshire,22.9,39.8,"9,195",https://www.usnews.com/education/best-global-universities/keele-university-504593
224,space-science,871,University of Alabama Huntsville,United States,Huntsville,21.8,41.5,N/A,https://www.usnews.com/education/best-global-universities/university-of-alabama-huntsville-100706
225,space-science,871,University of Nevada Las Vegas,United States,Las Vegas,21.4,41.5,N/A,https://www.usnews.com/education/best-global-universities/university-of-nevada-las-vegas-182281
226,space-science,426,York University - Canada,Canada,Toronto,21,53.8,"44,036",https://www.usnews.com/education/best-global-universities/york-university-canada-499962
227,space-science,787,National University of La Plata,Argentina,Buenos Aires,20.5,43.5,N/A,https://www.usnews.com/education/best-global-universities/national-university-of-la-plata-502752
228,space-science,676,Universita della Svizzera Italiana,Switzerland,Lugano,20.2,46.3,"3,266",https://www.usnews.com/education/best-global-universities/universita-della-svizzera-italiana-529681
229,space-science,"1,239",University of Central Lancashire,United Kingdom,Preston,19.8,33.6,"20,030",https://www.usnews.com/education/best-global-universities/university-of-central-lancashire-529003
230,space-science,269,Beijing Normal University,China,Beijing,19.4,59.7,N/A,https://www.usnews.com/education/best-global-universities/beijing-normal-university-506588
231,space-science,250,University of Florence,Italy,Florence,18.7,60.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-florence-501033
232,space-science,300,Western University (University of Western Ontario),Canada,London (Canada),18.3,58.2,N/A,https://www.usnews.com/education/best-global-universities/western-university-university-of-western-ontario-499965
233,space-science,292,Yonsei University,South Korea,Seoul,17.8,58.8,N/A,https://www.usnews.com/education/best-global-universities/yonsei-university-503801
234,space-science,"1,072",Catholic University of America,United States,"Washington, D.C.",17.1,37.2,N/A,https://www.usnews.com/education/best-global-universities/catholic-university-of-america-131283
235,space-science,304,Technical University of Berlin,Germany,Berlin,17,58.1,"20,243",https://www.usnews.com/education/best-global-universities/technical-university-of-berlin-506357
236,space-science,140,University of Leeds,United Kingdom,Leeds,16.4,66.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-leeds-505265
237,space-science,140,Purdue University West Lafayette Campus,United States,West Lafayette,15.8,66.9,N/A,https://www.usnews.com/education/best-global-universities/purdue-university-west-lafayette-campus-243780
238,space-science,461,University of Oklahoma - Norman,United States,Norman,15.3,52.9,"26,450",https://www.usnews.com/education/best-global-universities/university-of-oklahoma-norman-207500
239,space-science,129,Brown University,United States,Providence,15.2,67.5,"10,037",https://www.usnews.com/education/best-global-universities/brown-university-217156
240,space-science,856,Braunschweig University of Technology,Germany,Braunschweig,14.5,41.9,N/A,https://www.usnews.com/education/best-global-universities/braunschweig-university-of-technology-505131
241,space-science,487,North West University - South Africa,South Africa,Potchefstroom,13.1,51.7,N/A,https://www.usnews.com/education/best-global-universities/north-west-university-south-africa-528970
242,space-science,432,Hokkaido University,Japan,Sapporo,12.9,53.6,N/A,https://www.usnews.com/education/best-global-universities/hokkaido-university-501928
243,space-science,265,Virginia Polytechnic Institute & State University,United States,Blacksburg,12.9,59.9,"36,512",https://www.usnews.com/education/best-global-universities/virginia-polytechnic-institute-state-university-233921
244,space-science,447,University of Oulu,Finland,Oulu,11.7,53.3,"10,134",https://www.usnews.com/education/best-global-universities/university-of-oulu-502651
245,space-science,426,University of Buenos Aires,Argentina,Buenos Aires,10.8,53.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-buenos-aires-504821
246,space-science,576,University of Texas at San Antonio (UTSA),United States,San Antonio,6.6,48.9,"27,187",https://www.usnews.com/education/best-global-universities/university-of-texas-at-san-antonio-utsa-229027
247,space-science,261,Dartmouth College,United States,Hanover,6.2,60.1,"6,440",https://www.usnews.com/education/best-global-universities/dartmouth-college-182670
248,space-science,317,Technion Israel Institute of Technology,Israel,Haifa,6.2,57.6,"15,147",https://www.usnews.com/education/best-global-universities/technion-israel-institute-of-technology-505919
249,space-science,"1,072",National University of Cordoba,Argentina,Cordoba (Argentina),4.6,37.2,N/A,https://www.usnews.com/education/best-global-universities/national-university-of-cordoba-502638
250,space-science,368,Shandong University,China,Jinan,0.7,55.4,N/A,https://www.usnews.com/education/best-global-universities/shandong-university-505166
