ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
183,food-science-technology,441,University of Saskatchewan,Canada,Saskatoon,37.8,53.4,"17,741",https://www.usnews.com/education/best-global-universities/university-of-saskatchewan-499969
184,food-science-technology,125,Sapienza University Rome,Italy,Rome,37.5,68,"74,149",https://www.usnews.com/education/best-global-universities/sapienza-university-rome-506550
185,food-science-technology,"1,542",Poznan University of Life Sciences,Poland,Poznan,37.3,26.9,N/A,https://www.usnews.com/education/best-global-universities/poznan-university-of-life-sciences-529439
186,food-science-technology,"1,132",Universidad Miguel Hernandez de Elche,Spain,Alicante,37.2,35.8,N/A,https://www.usnews.com/education/best-global-universities/universidad-miguel-hernandez-de-elche-529033
187,food-science-technology,901,Universidade Federal de Pelotas,Brazil,Pelotas,36.9,40.9,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-de-pelotas-528834
188,food-science-technology,"1,704",Wroclaw University of Environmental & Life Sciences,Poland,Wroclaw,36.9,23,N/A,https://www.usnews.com/education/best-global-universities/wroclaw-university-of-environmental-life-sciences-529558
189,food-science-technology,"1,158",Agricultural University of Athens,Greece,Athens (Greece),36.8,35.1,N/A,https://www.usnews.com/education/best-global-universities/agricultural-university-of-athens-501891
190,food-science-technology,764,Charles Sturt University,Australia,Wagga Wagga,36.8,44.1,N/A,https://www.usnews.com/education/best-global-universities/charles-sturt-university-528979
191,food-science-technology,844,Universidade Catolica Portuguesa,Portugal,Lisboa,36.6,42.2,N/A,https://www.usnews.com/education/best-global-universities/universidade-catolica-portuguesa-529989
192,food-science-technology,247,University of Otago,New Zealand,Dunedin,36.5,60.7,"18,508",https://www.usnews.com/education/best-global-universities/university-of-otago-506723
193,food-science-technology,537,Universite Clermont Auvergne (UCA),France,Clermont-Ferrand,36.2,50.1,N/A,https://www.usnews.com/education/best-global-universities/universite-clermont-auvergne-uca-529156
194,food-science-technology,"1,671",Shenyang Agricultural University,China,Shenyang,36.1,23.9,N/A,https://www.usnews.com/education/best-global-universities/shenyang-agricultural-university-529736
195,food-science-technology,787,National University of La Plata,Argentina,Buenos Aires,36,43.5,N/A,https://www.usnews.com/education/best-global-universities/national-university-of-la-plata-502752
196,food-science-technology,138,University of Bonn,Germany,Bonn,35.8,67,"27,210",https://www.usnews.com/education/best-global-universities/university-of-bonn-504578
197,food-science-technology,"1,446",Qilu University of Technology,China,Jinan,35.7,29,N/A,https://www.usnews.com/education/best-global-universities/qilu-university-of-technology-529482
198,food-science-technology,112,Lund University,Sweden,Lund,35.3,69,N/A,https://www.usnews.com/education/best-global-universities/lund-university-500083
199,food-science-technology,405,Universidad Nacional Autonoma de Mexico,Mexico,Mexico City,34.9,54.3,"172,729",https://www.usnews.com/education/best-global-universities/universidad-nacional-autonoma-de-mexico-502101
200,food-science-technology,400,Universidad de Chile,Chile,Santiago,34.7,54.4,"37,286",https://www.usnews.com/education/best-global-universities/universidad-de-chile-502207
201,food-science-technology,"1,314",Universidade Federal da Paraiba,Brazil,Joao Pessoa,34.6,31.9,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-da-paraiba-529248
202,food-science-technology,466,University of Basque Country,Spain,Leioa,34.3,52.7,"43,018",https://www.usnews.com/education/best-global-universities/university-of-basque-country-502718
203,food-science-technology,"1,036",Chung Ang University,South Korea,Seoul,33.8,38,N/A,https://www.usnews.com/education/best-global-universities/chung-ang-university-500565
204,food-science-technology,"1,261",Kangwon National University,South Korea,Chuncheon-si,33.8,33,N/A,https://www.usnews.com/education/best-global-universities/kangwon-national-university-500476
205,food-science-technology,782,University of Murcia,Spain,Murcia,33.8,43.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-murcia-503573
206,food-science-technology,977,Universidade Federal do Ceara,Brazil,Fortaleza,33.6,39.2,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-do-ceara-503817
207,food-science-technology,"1,208",Gyeongsang National University,South Korea,Jinju City,33.1,34.2,N/A,https://www.usnews.com/education/best-global-universities/gyeongsang-national-university-500897
208,food-science-technology,573,University of Palermo,Italy,Palermo,32.8,49,N/A,https://www.usnews.com/education/best-global-universities/university-of-palermo-501535
209,food-science-technology,225,University of Tennessee Knoxville,United States,Knoxville,32.7,61.7,"27,308",https://www.usnews.com/education/best-global-universities/university-of-tennessee-knoxville-221759
210,food-science-technology,363,Cairo University,Egypt,Giza,32.5,55.6,"208,524",https://www.usnews.com/education/best-global-universities/cairo-university-501834
211,food-science-technology,759,Tecnologico de Monterrey,Mexico,Monterrey,32.3,44.2,"49,696",https://www.usnews.com/education/best-global-universities/tecnologico-de-monterrey-529343
212,food-science-technology,304,Sichuan University,China,Chengdu,31.7,58.1,"49,543",https://www.usnews.com/education/best-global-universities/sichuan-university-506145
213,food-science-technology,450,University of Ljubljana,Slovenia,Ljubljana,31.7,53.2,"37,615",https://www.usnews.com/education/best-global-universities/university-of-ljubljana-502840
214,food-science-technology,74,University of Adelaide,Australia,Adelaide,31.5,72.8,"23,102",https://www.usnews.com/education/best-global-universities/university-of-adelaide-504015
215,food-science-technology,554,Hacettepe University,Turkey,Ankara,31.4,49.5,"38,444",https://www.usnews.com/education/best-global-universities/hacettepe-university-505298
216,food-science-technology,"1,275",North Dakota State University Fargo,United States,Fargo,30.9,32.7,"11,852",https://www.usnews.com/education/best-global-universities/north-dakota-state-university-fargo-200332
217,food-science-technology,"1,046",Ferdowsi University Mashhad,Iran,Mashhad,30.8,37.7,N/A,https://www.usnews.com/education/best-global-universities/ferdowsi-university-mashhad-502854
218,food-science-technology,750,University of Arkansas Fayetteville,United States,Fayetteville,30.8,44.4,"25,207",https://www.usnews.com/education/best-global-universities/university-of-arkansas-fayetteville-106397
219,food-science-technology,"1,317",Universidade Federal de Lavras,Brazil,Lavras,30.1,31.8,"14,637",https://www.usnews.com/education/best-global-universities/universidade-federal-de-lavras-529105
220,food-science-technology,816,Universidade Federal do Parana,Brazil,Curitiba,29.9,42.6,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-do-parana-503933
221,food-science-technology,722,Ankara University,Turkey,Ankara,29.5,45.2,"71,311",https://www.usnews.com/education/best-global-universities/ankara-university-503075
222,food-science-technology,226,Universiti Malaya,Malaysia,Kuala Lumpur,28.8,61.6,"18,320",https://www.usnews.com/education/best-global-universities/universiti-malaya-501730
223,food-science-technology,"1,153",Yildiz Technical University,Turkey,Istanbul,28.8,35.3,"25,532",https://www.usnews.com/education/best-global-universities/yildiz-technical-university-528878
224,food-science-technology,547,Chulalongkorn University,Thailand,Bangkok,28.7,49.8,"34,095",https://www.usnews.com/education/best-global-universities/chulalongkorn-university-505636
225,food-science-technology,"1,526",University of Warmia & Mazury,Poland,Olsztyn,28.7,27.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-warmia-mazury-529107
226,food-science-technology,389,Louisiana State University,United States,Baton Rouge,28.5,54.8,"29,191",https://www.usnews.com/education/best-global-universities/louisiana-state-university-159391
227,food-science-technology,"1,912",University of Life Sciences in Lublin,Poland,Lublin,28.4,14.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-life-sciences-in-lublin-529610
228,food-science-technology,"1,344","University of Chemistry & Technology, Prague",Czech Republic,Prague,28,31.5,"4,006",https://www.usnews.com/education/best-global-universities/university-of-chemistry-technology-prague-529066
229,food-science-technology,844,Chonnam National University,South Korea,Gwangju,27.9,42.2,"24,436",https://www.usnews.com/education/best-global-universities/chonnam-national-university-503755
230,food-science-technology,739,Chiang Mai University,Thailand,Chiang Mai,27.5,44.6,"34,110",https://www.usnews.com/education/best-global-universities/chiang-mai-university-500257
231,food-science-technology,432,Hokkaido University,Japan,Sapporo,27.5,53.6,N/A,https://www.usnews.com/education/best-global-universities/hokkaido-university-501928
232,food-science-technology,"1,438",Universidade Estadual de Londrina,Brazil,Londrina,27.5,29.2,N/A,https://www.usnews.com/education/best-global-universities/universidade-estadual-de-londrina-529115
233,food-science-technology,"1,151",Ege University,Turkey,Izmir,27.2,35.4,"33,062",https://www.usnews.com/education/best-global-universities/ege-university-500691
234,food-science-technology,"1,140",Chungnam National University,South Korea,Daejeon,26.7,35.6,N/A,https://www.usnews.com/education/best-global-universities/chungnam-national-university-502760
235,food-science-technology,"1,603",Universidade Tecnologica Federal do Parana,Brazil,Curitiba,26.4,25.5,N/A,https://www.usnews.com/education/best-global-universities/universidade-tecnologica-federal-do-parana-529590
236,food-science-technology,"1,013",Universidad de Castilla-La Mancha,Spain,Real,26.3,38.5,N/A,https://www.usnews.com/education/best-global-universities/universidad-de-castilla-la-mancha-505673
237,food-science-technology,"1,216",Universite de Carthage,Tunisia,Tunis,26.3,34.1,N/A,https://www.usnews.com/education/best-global-universities/universite-de-carthage-529240
238,food-science-technology,"1,621",Tokyo University of Marine Science & Technology,Japan,Minato City,25.3,25,N/A,https://www.usnews.com/education/best-global-universities/tokyo-university-of-marine-science-technology-530054
239,food-science-technology,667,Kyungpook National University,South Korea,Daegu,25.2,46.5,"18,892",https://www.usnews.com/education/best-global-universities/kyungpook-national-university-506312
240,food-science-technology,265,Virginia Polytechnic Institute & State University,United States,Blacksburg,25.2,59.9,"36,512",https://www.usnews.com/education/best-global-universities/virginia-polytechnic-institute-state-university-233921
241,food-science-technology,304,Technical University of Berlin,Germany,Berlin,25.1,58.1,"20,243",https://www.usnews.com/education/best-global-universities/technical-university-of-berlin-506357
242,food-science-technology,512,Mahidol University,Thailand,Salaya,25,50.7,"28,477",https://www.usnews.com/education/best-global-universities/mahidol-university-503481
243,food-science-technology,"1,275",Universidad Autonoma Metropolitana - Mexico,Mexico,Mexico City,24.2,32.7,"59,709",https://www.usnews.com/education/best-global-universities/universidad-autonoma-metropolitana-mexico-500675
244,food-science-technology,"1,865",Universidad Autonoma de Queretaro,Mexico,Santiago de Querétaro,24.1,17.5,N/A,https://www.usnews.com/education/best-global-universities/universidad-autonoma-de-queretaro-530081
245,food-science-technology,"1,233",National Chung Hsing University,Taiwan,Taichung,23.2,33.7,"15,150",https://www.usnews.com/education/best-global-universities/national-chung-hsing-university-506137
246,food-science-technology,468,Universidade Federal de Minas Gerais,Brazil,Belo Horizonte,23,52.6,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-de-minas-gerais-506043
247,food-science-technology,"1,452",Universidade Estadual de Maringa,Brazil,Maringa,22.6,28.8,N/A,https://www.usnews.com/education/best-global-universities/universidade-estadual-de-maringa-529117
248,food-science-technology,"1,198",Universidad de Valladolid,Spain,Valladolid,22.2,34.4,"21,780",https://www.usnews.com/education/best-global-universities/universidad-de-valladolid-501268
249,food-science-technology,81,University of Tokyo,Japan,Tokyo,22.2,72.4,"26,112",https://www.usnews.com/education/best-global-universities/university-of-tokyo-500248
250,food-science-technology,432,University of Tsukuba,Japan,Tsukuba,21.3,53.6,"16,626",https://www.usnews.com/education/best-global-universities/university-of-tsukuba-506429
