,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
63,water-resources,81,University of Tokyo,Japan,Tokyo,51.2,72.4,"26,112",https://www.usnews.com/education/best-global-universities/university-of-tokyo-500248
64,water-resources,3,Stanford University,United States,Stanford,50.1,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
65,water-resources,60,Universite Paris Saclay,France,Saint-Aubin,49.8,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
66,water-resources,140,Purdue University West Lafayette Campus,United States,West Lafayette,49.3,66.9,N/A,https://www.usnews.com/education/best-global-universities/purdue-university-west-lafayette-campus-243780
67,water-resources,570,China University of Mining & Technology,China,Xuzhou,48.7,49.1,N/A,https://www.usnews.com/education/best-global-universities/china-university-of-mining-technology-529045
68,water-resources,356,Swedish University of Agricultural Sciences,Sweden,Uppsala,48.6,55.8,N/A,https://www.usnews.com/education/best-global-universities/swedish-university-of-agricultural-sciences-503091
69,water-resources,55,University of Hong Kong,Hong Kong,Pok Fu Lam,48.2,74.4,"18,087",https://www.usnews.com/education/best-global-universities/university-of-hong-kong-505046
70,water-resources,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),47.9,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
71,water-resources,37,Monash University,Australia,Clayton,47.9,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
72,water-resources,191,University of Waterloo,Canada,Waterloo,47.9,63.5,"34,306",https://www.usnews.com/education/best-global-universities/university-of-waterloo-499966
73,water-resources,213,King Saud University,Saudi Arabia,Riyadh,47.8,62.3,"33,931",https://www.usnews.com/education/best-global-universities/king-saud-university-503764
74,water-resources,6,University of Washington Seattle,United States,Seattle,47.7,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
75,water-resources,426,Flinders University South Australia,Australia,Bedford Park,47.1,53.8,"17,366",https://www.usnews.com/education/best-global-universities/flinders-university-south-australia-504837
76,water-resources,93,Zhejiang University,China,Hangzhou,47.1,70.7,"44,636",https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
77,water-resources,55,Ohio State University,United States,Columbus,47,74.4,"55,814",https://www.usnews.com/education/best-global-universities/ohio-state-university-204796
78,water-resources,67,University of California Santa Barbara,United States,Santa Barbara,46.9,73.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-santa-barbara-110705
79,water-resources,226,Universiti Malaya,Malaysia,Kuala Lumpur,45.2,61.6,"18,320",https://www.usnews.com/education/best-global-universities/universiti-malaya-501730
80,water-resources,"1,281",Xi'an University of Technology,China,Xi'an,45.1,32.6,N/A,https://www.usnews.com/education/best-global-universities/xian-university-of-technology-529477
81,water-resources,260,Tianjin University,China,Tianjin,44.9,60.2,N/A,https://www.usnews.com/education/best-global-universities/tianjin-university-503557
82,water-resources,116,Michigan State University,United States,East Lansing,44.7,68.8,"45,465",https://www.usnews.com/education/best-global-universities/michigan-state-university-171100
83,water-resources,156,Arizona State University-Tempe,United States,Tempe,42.7,65.9,"50,027",https://www.usnews.com/education/best-global-universities/arizona-state-university-tempe-104151
84,water-resources,186,University of California Riverside,United States,Riverside,42.5,63.6,"24,515",https://www.usnews.com/education/best-global-universities/university-of-california-riverside-110671
85,water-resources,109,Huazhong University of Science & Technology,China,Wuhan,42.2,69.1,"57,167",https://www.usnews.com/education/best-global-universities/huazhong-university-of-science-technology-505190
86,water-resources,35,University of British Columbia,Canada,Vancouver,42.2,77.5,"58,590",https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
87,water-resources,409,University of Nebraska Lincoln,United States,Lincoln (U.S.),42.1,54.2,"25,055",https://www.usnews.com/education/best-global-universities/university-of-nebraska-lincoln-181464
88,water-resources,461,University of Oklahoma - Norman,United States,Norman,42.1,52.9,"26,450",https://www.usnews.com/education/best-global-universities/university-of-oklahoma-norman-207500
89,water-resources,564,Colorado School of Mines,United States,Golden,42,49.2,"6,350",https://www.usnews.com/education/best-global-universities/colorado-school-of-mines-126775
90,water-resources,468,Nanjing University of Information Science & Technology,China,Nanjing,42,52.6,N/A,https://www.usnews.com/education/best-global-universities/nanjing-university-of-information-science-technology-529160
91,water-resources,83,University of Western Australia,Australia,Crawley,41.9,72.2,"18,405",https://www.usnews.com/education/best-global-universities/university-of-western-australia-503979
92,water-resources,109,Aarhus University,Denmark,Aarhus,41.5,69.1,"26,475",https://www.usnews.com/education/best-global-universities/aarhus-university-502125
93,water-resources,299,Oregon State University,United States,Corvallis,41.3,58.3,N/A,https://www.usnews.com/education/best-global-universities/oregon-state-university-209542
94,water-resources,265,Virginia Polytechnic Institute & State University,United States,Blacksburg,41.2,59.9,"36,512",https://www.usnews.com/education/best-global-universities/virginia-polytechnic-institute-state-university-233921
95,water-resources,21,Cornell University,United States,Ithaca,40.5,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
96,water-resources,304,Sichuan University,China,Chengdu,40,58.1,"49,543",https://www.usnews.com/education/best-global-universities/sichuan-university-506145
97,water-resources,185,University of Naples Federico II,Italy,Naples,39.9,63.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-naples-federico-ii-505539
98,water-resources,50,KU Leuven,Belgium,Leuven,39,75.1,"47,663",https://www.usnews.com/education/best-global-universities/ku-leuven-504785
99,water-resources,573,University of Palermo,Italy,Palermo,39,49,N/A,https://www.usnews.com/education/best-global-universities/university-of-palermo-501535
100,water-resources,276,Colorado State University,United States,Fort Collins,38.5,59.4,"29,351",https://www.usnews.com/education/best-global-universities/colorado-state-university-126818
