ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
204,endocrinology-metabolism,247,University of Otago,New Zealand,Dunedin,40,60.7,"18,508",https://www.usnews.com/education/best-global-universities/university-of-otago-506723
205,endocrinology-metabolism,736,Nanjing Medical University,China,Gulou,39.8,44.7,"19,277",https://www.usnews.com/education/best-global-universities/nanjing-medical-university-500938
206,endocrinology-metabolism,178,Aix-Marseille Universite,France,Marseille,39.7,64.1,"70,054",https://www.usnews.com/education/best-global-universities/aix-marseille-universite-528917
207,endocrinology-metabolism,512,Mahidol University,Thailand,Salaya,39.5,50.7,"28,477",https://www.usnews.com/education/best-global-universities/mahidol-university-503481
208,endocrinology-metabolism,339,Jagiellonian University,Poland,Krakow,39.4,56.6,"34,725",https://www.usnews.com/education/best-global-universities/jagiellonian-university-500039
209,endocrinology-metabolism,226,Universite Libre de Bruxelles,Belgium,Brussels,39.4,61.6,"28,290",https://www.usnews.com/education/best-global-universities/universite-libre-de-bruxelles-505303
210,endocrinology-metabolism,860,Southern Medical University - China,China,Guangzhou,39,41.8,N/A,https://www.usnews.com/education/best-global-universities/southern-medical-university-china-529257
211,endocrinology-metabolism,250,University of Illinois Chicago,United States,Chicago,39,60.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-illinois-chicago-145600
212,endocrinology-metabolism,625,University of Tennessee Health Science Center,United States,Memphis,38.9,47.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-tennessee-health-science-center-499917
213,endocrinology-metabolism,"1,190",Catholic University of Korea,South Korea,Bucheon,38.8,34.5,N/A,https://www.usnews.com/education/best-global-universities/catholic-university-of-korea-504494
214,endocrinology-metabolism,178,University of Freiburg,Germany,Freiburg,37.3,64.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-freiburg-503940
215,endocrinology-metabolism,290,Korea University,South Korea,Seoul,37.1,58.9,N/A,https://www.usnews.com/education/best-global-universities/korea-university-505391
216,endocrinology-metabolism,"1,291",Wenzhou Medical University,China,Wenzhou,36.9,32.3,N/A,https://www.usnews.com/education/best-global-universities/wenzhou-medical-university-529262
217,endocrinology-metabolism,341,Universite Claude Bernard Lyon 1,France,Villeurbanne,36.7,56.5,"28,253",https://www.usnews.com/education/best-global-universities/universite-claude-bernard-lyon-1-500870
218,endocrinology-metabolism,745,Istanbul University,Turkey,Istanbul,36.5,44.5,"59,250",https://www.usnews.com/education/best-global-universities/istanbul-university-502403
219,endocrinology-metabolism,140,University of Leeds,United Kingdom,Leeds,36.5,66.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-leeds-505265
220,endocrinology-metabolism,421,Jilin University,China,Changchun,36.4,53.9,N/A,https://www.usnews.com/education/best-global-universities/jilin-university-506709
221,endocrinology-metabolism,385,Zhengzhou University,China,Zhengzhou,36.3,54.9,N/A,https://www.usnews.com/education/best-global-universities/zhengzhou-university-502623
222,endocrinology-metabolism,231,University of Newcastle,Australia,Callaghan,36.2,61.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-newcastle-500363
223,endocrinology-metabolism,300,University of Genoa,Italy,Genoa,36,58.2,"20,263",https://www.usnews.com/education/best-global-universities/university-of-genoa-503778
224,endocrinology-metabolism,300,University of Rome Tor Vergata,Italy,Rome,35.4,58.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-rome-tor-vergata-500808
225,endocrinology-metabolism,507,China Medical University Taiwan,Taiwan,Taichung,35.1,51,"7,284",https://www.usnews.com/education/best-global-universities/china-medical-university-taiwan-503180
226,endocrinology-metabolism,143,Rutgers State University New Brunswick,United States,Piscataway Township,35.1,66.8,"46,158",https://www.usnews.com/education/best-global-universities/rutgers-state-university-new-brunswick-186380
227,endocrinology-metabolism,244,University of Cologne,Germany,Koln,35.1,60.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-cologne-500060
228,endocrinology-metabolism,441,University of Massachusetts Worcester,United States,Worcester,35.1,53.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-massachusetts-worcester-166708
229,endocrinology-metabolism,"1,113",China Medical University,China,Shenyang,35,36.3,N/A,https://www.usnews.com/education/best-global-universities/china-medical-university-506215
230,endocrinology-metabolism,"1,106",Medical University of Warsaw,Poland,Warsaw,35,36.4,N/A,https://www.usnews.com/education/best-global-universities/medical-university-of-warsaw-529008
231,endocrinology-metabolism,356,University of Kentucky,United States,Lexington,35,55.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-kentucky-157085
232,endocrinology-metabolism,286,Osaka University,Japan,Suita,34.9,59,"22,485",https://www.usnews.com/education/best-global-universities/osaka-university-505864
233,endocrinology-metabolism,"1,705",Medical University Silesia,Poland,Katowice,34.8,22.9,N/A,https://www.usnews.com/education/best-global-universities/medical-university-silesia-529276
234,endocrinology-metabolism,459,University of Belgrade,Serbia,Belgrade,34.6,53,N/A,https://www.usnews.com/education/best-global-universities/university-of-belgrade-500616
235,endocrinology-metabolism,953,Augusta University,United States,Augusta,34.5,39.8,N/A,https://www.usnews.com/education/best-global-universities/augusta-university-482149
236,endocrinology-metabolism,432,Universidade Federal do Rio Grande do Sul,Brazil,Porto Alegre,34.4,53.6,N/A,https://www.usnews.com/education/best-global-universities/universidade-federal-do-rio-grande-do-sul-500468
