,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
52,nanoscience-nanotechnology,180,Rice University,United States,Houston,64,64,"7,068",https://www.usnews.com/education/best-global-universities/rice-university-227757
53,nanoscience-nanotechnology,196,Tongji University,China,Shanghai,63.4,63.2,"30,153",https://www.usnews.com/education/best-global-universities/tongji-university-501326
54,nanoscience-nanotechnology,37,University of New South Wales Sydney,Australia,Kensington,63,77,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434
55,nanoscience-nanotechnology,24,Northwestern University,United States,Evanston,62.6,81.2,"18,803",https://www.usnews.com/education/best-global-universities/northwestern-university-147767
56,nanoscience-nanotechnology,36,University of Queensland,Australia,Brisbane,62,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
57,nanoscience-nanotechnology,531,Nanjing University of Science & Technology,China,Nanjing,61.7,50.2,N/A,https://www.usnews.com/education/best-global-universities/nanjing-university-of-science-technology-502308
58,nanoscience-nanotechnology,392,Dalian University of Technology,China,Dalian,61.5,54.7,N/A,https://www.usnews.com/education/best-global-universities/dalian-university-of-technology-500236
59,nanoscience-nanotechnology,688,Donghua University,China,Shanghai,61.3,46,"23,598",https://www.usnews.com/education/best-global-universities/donghua-university-500299
60,nanoscience-nanotechnology,168,Hunan University,China,Changsha,60.8,65.3,"41,580",https://www.usnews.com/education/best-global-universities/hunan-university-505375
61,nanoscience-nanotechnology,282,Korea Advanced Institute of Science & Technology (KAIST),South Korea,Daejeon,60.3,59.1,"9,946",https://www.usnews.com/education/best-global-universities/korea-advanced-institute-of-science-technology-kaist-506336
62,nanoscience-nanotechnology,18,University of Toronto,Canada,Toronto,60.1,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
63,nanoscience-nanotechnology,29,ETH Zurich,Switzerland,Zurich,59.9,79.3,"21,209",https://www.usnews.com/education/best-global-universities/eth-zurich-502241
64,nanoscience-nanotechnology,13,Imperial College London,United Kingdom,London (U.K.),59.9,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
65,nanoscience-nanotechnology,37,Monash University,Australia,Clayton,59.9,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
66,nanoscience-nanotechnology,53,Chinese University of Hong Kong,Hong Kong,Shatin,59.3,74.7,"18,468",https://www.usnews.com/education/best-global-universities/chinese-university-of-hong-kong-502973
67,nanoscience-nanotechnology,100,Hong Kong Polytechnic University,Hong Kong,Kowloon,58.9,70.2,"19,046",https://www.usnews.com/education/best-global-universities/hong-kong-polytechnic-university-500421
68,nanoscience-nanotechnology,234,Southeast University - China,China,Nanjing,58.8,61.3,"37,491",https://www.usnews.com/education/best-global-universities/southeast-university-china-505648
69,nanoscience-nanotechnology,360,Ulsan National Institute of Science & Technology (UNIST),South Korea,Ulsan,58.4,55.7,N/A,https://www.usnews.com/education/best-global-universities/ulsan-national-institute-of-science-technology-unist-528883
70,nanoscience-nanotechnology,203,Griffith University,Australia,Nathan,58.2,62.8,"35,900",https://www.usnews.com/education/best-global-universities/griffith-university-501686
71,nanoscience-nanotechnology,74,University of Adelaide,Australia,Adelaide,58,72.8,"23,102",https://www.usnews.com/education/best-global-universities/university-of-adelaide-504015
72,nanoscience-nanotechnology,7,Columbia University,United States,New York City,57.8,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
73,nanoscience-nanotechnology,794,Qingdao University,China,Qingdao,57.7,43.3,"42,809",https://www.usnews.com/education/best-global-universities/qingdao-university-529026
74,nanoscience-nanotechnology,129,Seoul National University (SNU),South Korea,Seoul,57.7,67.5,"26,209",https://www.usnews.com/education/best-global-universities/seoul-national-university-snu-503456
75,nanoscience-nanotechnology,20,University of California San Diego,United States,La Jolla,57.6,83.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680
76,nanoscience-nanotechnology,667,Nanjing University of Aeronautics & Astronautics,China,Nanjing,57.3,46.5,"32,238",https://www.usnews.com/education/best-global-universities/nanjing-university-of-aeronautics-astronautics-500835
77,nanoscience-nanotechnology,57,University of Maryland College Park,United States,College Park,57.3,74.3,"33,775",https://www.usnews.com/education/best-global-universities/university-of-maryland-college-park-163286
78,nanoscience-nanotechnology,84,Pennsylvania State University,United States,University Park,57,71.9,"46,863",https://www.usnews.com/education/best-global-universities/pennsylvania-state-university-214777
79,nanoscience-nanotechnology,379,Chongqing University,China,Chongqing,56.7,55,"40,696",https://www.usnews.com/education/best-global-universities/chongqing-university-505768
80,nanoscience-nanotechnology,191,University of Waterloo,Canada,Waterloo,56.5,63.5,"34,306",https://www.usnews.com/education/best-global-universities/university-of-waterloo-499966
81,nanoscience-nanotechnology,421,Shanghai University,China,Shanghai,56.1,53.9,"37,499",https://www.usnews.com/education/best-global-universities/shanghai-university-504274
82,nanoscience-nanotechnology,230,North Carolina State University,United States,Raleigh,55.1,61.5,"31,527",https://www.usnews.com/education/best-global-universities/north-carolina-state-university-199193
83,nanoscience-nanotechnology,186,Technische Universitat Dresden,Germany,Dresden,55.1,63.6,"30,578",https://www.usnews.com/education/best-global-universities/technische-universitat-dresden-501011
84,nanoscience-nanotechnology,263,Sungkyunkwan University (SKKU),South Korea,Seoul,54.7,60,"23,399",https://www.usnews.com/education/best-global-universities/sungkyunkwan-university-skku-500193
85,nanoscience-nanotechnology,441,Hanyang University,South Korea,Seoul,53.7,53.4,N/A,https://www.usnews.com/education/best-global-universities/hanyang-university-500484
86,nanoscience-nanotechnology,171,Queensland University of Technology (QUT),Australia,Brisbane,53.7,64.7,"37,165",https://www.usnews.com/education/best-global-universities/queensland-university-of-technology-qut-504619
87,nanoscience-nanotechnology,19,University of Michigan,United States,Ann Arbor,53.6,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
88,nanoscience-nanotechnology,409,Pohang University of Science & Technology (POSTECH),South Korea,Pohang,53.5,54.2,"3,260",https://www.usnews.com/education/best-global-universities/pohang-university-of-science-technology-postech-503003
89,nanoscience-nanotechnology,203,National Taiwan University,Taiwan,Taipei,53,62.8,"25,215",https://www.usnews.com/education/best-global-universities/national-taiwan-university-504077
90,nanoscience-nanotechnology,290,Korea University,South Korea,Seoul,52.9,58.9,N/A,https://www.usnews.com/education/best-global-universities/korea-university-505391
91,nanoscience-nanotechnology,409,University of Nebraska Lincoln,United States,Lincoln (U.S.),52.8,54.2,"25,055",https://www.usnews.com/education/best-global-universities/university-of-nebraska-lincoln-181464
92,nanoscience-nanotechnology,112,University of Technology Sydney,Australia,Ultimo,52.8,69,N/A,https://www.usnews.com/education/best-global-universities/university-of-technology-sydney-505153
93,nanoscience-nanotechnology,12,University College London,United Kingdom,London (U.K.),52.7,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
94,nanoscience-nanotechnology,55,University of Hong Kong,Hong Kong,Pok Fu Lam,52.5,74.4,"18,087",https://www.usnews.com/education/best-global-universities/university-of-hong-kong-505046
95,nanoscience-nanotechnology,330,Linkoping University,Sweden,Linkoping,51.8,57,N/A,https://www.usnews.com/education/best-global-universities/linkoping-university-503497
96,nanoscience-nanotechnology,5,University of Oxford,United Kingdom,Oxford,51.4,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
97,nanoscience-nanotechnology,81,University of Tokyo,Japan,Tokyo,51.4,72.4,"26,112",https://www.usnews.com/education/best-global-universities/university-of-tokyo-500248
98,nanoscience-nanotechnology,74,University of Illinois Urbana-Champaign,United States,Champaign,51,72.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-illinois-urbana-champaign-145637
99,nanoscience-nanotechnology,225,University of Tennessee Knoxville,United States,Knoxville,50.9,61.7,"27,308",https://www.usnews.com/education/best-global-universities/university-of-tennessee-knoxville-221759
100,nanoscience-nanotechnology,531,Fuzhou University,China,Fuzhou,50.7,50.2,"39,987",https://www.usnews.com/education/best-global-universities/fuzhou-university-528832
101,nanoscience-nanotechnology,286,State University of New York (SUNY) Buffalo,United States,Buffalo,50.7,59,"27,393",https://www.usnews.com/education/best-global-universities/state-university-of-new-york-suny-buffalo-196088
102,nanoscience-nanotechnology,160,University of Massachusetts Amherst,United States,Amherst,49.3,65.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-massachusetts-amherst-166629
103,nanoscience-nanotechnology,25,Duke University,United States,"Durham (North Carolina, U.S.)",49.1,80.7,N/A,https://www.usnews.com/education/best-global-universities/duke-university-198419
104,nanoscience-nanotechnology,41,University of North Carolina Chapel Hill,United States,Chapel Hill,48.6,76.7,"30,845",https://www.usnews.com/education/best-global-universities/university-of-north-carolina-chapel-hill-199120
105,nanoscience-nanotechnology,292,Yonsei University,South Korea,Seoul,48.5,58.8,N/A,https://www.usnews.com/education/best-global-universities/yonsei-university-503801
106,nanoscience-nanotechnology,226,Karlsruhe Institute of Technology,Germany,Karlsruhe,48.1,61.6,"22,689",https://www.usnews.com/education/best-global-universities/karlsruhe-institute-of-technology-502442
107,nanoscience-nanotechnology,63,University of Manchester,United Kingdom,Manchester,47.8,73.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-manchester-500273
108,nanoscience-nanotechnology,240,Royal Institute of Technology,Sweden,Stockholm,47.6,61,N/A,https://www.usnews.com/education/best-global-universities/royal-institute-of-technology-505970
109,nanoscience-nanotechnology,62,Australian National University,Australia,Canberra,47.5,73.9,"16,758",https://www.usnews.com/education/best-global-universities/australian-national-university-503825
110,nanoscience-nanotechnology,15,University of Pennsylvania,United States,Philadelphia,47.3,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
111,nanoscience-nanotechnology,194,Northeastern University,United States,Boston,47.2,63.3,"21,211",https://www.usnews.com/education/best-global-universities/northeastern-university-167358
112,nanoscience-nanotechnology,321,East China Normal University,China,Shanghai,47,57.5,"28,055",https://www.usnews.com/education/best-global-universities/east-china-normal-university-506407
113,nanoscience-nanotechnology,673,Zhejiang University of Technology,China,Hangzhou,46.7,46.4,N/A,https://www.usnews.com/education/best-global-universities/zhejiang-university-of-technology-529071
114,nanoscience-nanotechnology,152,Case Western Reserve University,United States,Cleveland,46.6,66.1,"10,953",https://www.usnews.com/education/best-global-universities/case-western-reserve-university-201645
115,nanoscience-nanotechnology,300,Western University (University of Western Ontario),Canada,London (Canada),46.3,58.2,N/A,https://www.usnews.com/education/best-global-universities/western-university-university-of-western-ontario-499965
116,nanoscience-nanotechnology,702,Nanjing Normal University,China,Nanjing,46.2,45.6,N/A,https://www.usnews.com/education/best-global-universities/nanjing-normal-university-528982
117,nanoscience-nanotechnology,901,Shaanxi Normal University,China,Xi'an,46.2,40.9,N/A,https://www.usnews.com/education/best-global-universities/shaanxi-normal-university-529190
118,nanoscience-nanotechnology,643,Beijing University of Technology,China,Beijing,46.1,47.1,N/A,https://www.usnews.com/education/best-global-universities/beijing-university-of-technology-505552
119,nanoscience-nanotechnology,394,National Tsing Hua University,Taiwan,Hsinchu,45.9,54.6,"13,030",https://www.usnews.com/education/best-global-universities/national-tsing-hua-university-501245
120,nanoscience-nanotechnology,"1,158",Qingdao University of Science & Technology,China,Qingdao,45.8,35.1,N/A,https://www.usnews.com/education/best-global-universities/qingdao-university-of-science-technology-529234
121,nanoscience-nanotechnology,60,Universite Paris Saclay,France,Saint-Aubin,45.8,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
122,nanoscience-nanotechnology,21,Cornell University,United States,Ithaca,45.7,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
123,nanoscience-nanotechnology,140,Purdue University West Lafayette Campus,United States,West Lafayette,45.7,66.9,N/A,https://www.usnews.com/education/best-global-universities/purdue-university-west-lafayette-campus-243780
124,nanoscience-nanotechnology,653,Guangdong University of Technology,China,Guangzhou,45.5,46.8,"46,040",https://www.usnews.com/education/best-global-universities/guangdong-university-of-technology-529270
125,nanoscience-nanotechnology,643,East China University of Science & Technology,China,Shanghai,44.9,47.1,"28,718",https://www.usnews.com/education/best-global-universities/east-china-university-of-science-technology-505997
126,nanoscience-nanotechnology,199,RWTH Aachen University,Germany,Aachen,44.7,63,"39,738",https://www.usnews.com/education/best-global-universities/rwth-aachen-university-506441
